Name;OrderId;CustomerID
Dokumentacja, konserwacja, rozwój, opcje EBS1500/6x00;;1
Dokumentacja, konserwacja, rozwój, opcje EBS2500/2600/260;;1	
Dokumentacja, konserwacja, rozwój, opcje EBS200/230/250;;1
Dokumentacja, konserwacja, rozwój, opcje EBS1600/1800;;1	
Nadzór produkcyjny EBS1500/6x00;1015;;1
Nadzór produkcyjny EBS2500/2600/260;;1
Nadzór produkcyjny EBS200/230/250;;1	
Nadzór produkcyjny EBS1600/1800;;1
Obsługa produkcji - programatory, testery, przyrządy, formy, wykrojniki, itp.;;1
Obsługa produkcji - uruchamianie urządzeń;;1
Naprawy, serwis, obsługa klientów, delegacje EBS Chiny;;1	
Naprawy, serwis, obsługa klientów, delegacje EBS GmbH;;1	
Naprawy, serwis, obsługa klientów, delegacje EBS Polska, obsługa DH;;1	
Komputery, sieci, bazy danych, SZJ ISO, serwis WWW;;1	
Atramenty - projektowanie;649;1	
Atramenty - produkcja, nadzór produkcyjny, aktualizacja bazy i dokumentacji;;1	
Wdrożenie systemu Comarch ERP;;1	
Inne projekty;;1	
Inne;;1	
Urlopy;;1	
Zwolnienia;;1	
Organizacyjne;;1	
Odpracowane;;1
Dokumentacja techniczno-ruchowa dla EBS GmbH;;2
Atramenty EBS GmbH - projektowanie;746;2
Zlecenia JS   (CAR i różne prace zlecone bezpośrednio przez szefa);;2
Aplikacje klientów EBS GmbH;;2	
New CIJ nozzle;783;2
Konserwacja drukarek MI4500/4700;750;2	
EBS-1800 / EBS-1600 (BigJet2 / PicAs2) PROTOTYP BETA;787;2
System pigmentowy do drukarek EBS-1800 (BigJet2);808;2	
EBS-260 - sprawdzanie transponderów w systemie online;859;2	
Koncepcja nowej głowicy CIJ;;2
iSopar II;822;2
MI 4700 12m/25m cables and ink pipes;848;2
New safety standard EN62368-1 for MI 4500/4700;880;2	
EBS-1800 / EBS-1600 (BigJet2 / PicAs2) PRE-SERIES;889;2
Security system in Linux system;937;2
Hi-frequency Piezo for CIJ (Min. 90kHz);942;2	
Extension of correction matrix for CIJ;965;2
Konserwacja drukarek EBS;972;2
NiceLabel (Zebra) integration with EBS-2600;976;2	
Certyfikacja MI4500/4700 na zgodność z Dyrektywą Maszynową;;2	
UFI numbers;;2
CIJ (Big-JET based) feasibility;997;2	
Offline project editor;1001;2
32-dot DOD printhead unit re-design;1029;2	
